,,,,,UTILIZED IMPACT FACTORS,,,,farm gate (=1),PROXY DEFINITION,ENERGY USE MJ/kg,,,,GHG Emissions (kg CO2eq/kg),,,,additional processing inputs for select foods,,,VARIANCE CALCULATIONS,,,,,,,,,
,,,,number of times specific commodity appears in FCID recipe files,CED ,GHG ,,,,,PROXY?,,,,PROXY?,,,,Energy (MJ),GHG (kgCO2eq),,Energy Use (MJ/kg),,,,,GHGE,,,,
FCID_Code,FCID_Desc,Weight_Basis_ as defined by FCID,Comments (from FCID),N_Cases,MJ / kg,CO2 eq / kg,weight Conversion Factor,conversion factor source, or processor gate (=2)?,,,# of datapoints,N-average,Std. Dev,,# of datapoints,N-average,Std. Dev,,,,basis,n,proxy group mean,SD (group or indiv food),scaled SD (group SD*food mean/group mean),basis,n,proxy group mean,SD (group or indiv food),scaled SD (group SD*food mean/group mean)
603034000,"Bean, cowpea, seed",dry weight of bean,"Includes cowpea, crowder pea, blackeye pea, and southern pea.",54,4.756,0.610,1,None,1,bean_dry,PROXY,2,4.756,3.739,DB value,1,0.610,#DIV/0!,,,,legume_seed,19,3.189953589,1.839062478,2.741799555,legume_seed,29,0.730832198,0.903866716,0.754425842
603035000,"Bean,  great northern, seed",dry weight of bean,,1934,4.756,0.308,1,None,1,bean_dry,PROXY,2,4.756,3.739,PROXY,9,0.308,0.195,,,,legume_seed,19,3.189953589,1.839062478,2.741799555,legume_seed,29,0.730832198,0.903866716,0.380659369
603036000,"Bean, kidney, seed",dry weight of bean,,1457,4.756,0.308,1,None,1,bean_dry,PROXY,2,4.756,3.739,PROXY,9,0.308,0.195,,,,legume_seed,19,3.189953589,1.839062478,2.741799555,legume_seed,29,0.730832198,0.903866716,0.380659369
603038000,"Bean, lima, seed",dry weight of bean,,278,4.756,0.308,1,None,1,bean_dry,PROXY,2,4.756,3.739,PROXY,9,0.308,0.195,,,,legume_seed,19,3.189953589,1.839062478,2.741799555,legume_seed,29,0.730832198,0.903866716,0.380659369
603039000,"Bean, mung, seed",dry weight of bean,Bean sprouts are the human food item.,1452,1.320,1.880,1,None,1,lentil_seed,PROXY,2,1.320,0.116,PROXY,2,1.880,2.060,,,,legume_seed,19,3.189953589,1.839062478,0.761261874,legume_seed,29,0.730832198,0.903866716,2.325548578
603040000,"Bean, navy, seed",dry weight of bean,Includes pea bean.,1997,4.756,0.308,1,None,1,bean_dry,PROXY,2,4.756,3.739,PROXY,9,0.308,0.195,,,,legume_seed,19,3.189953589,1.839062478,2.741799555,legume_seed,29,0.730832198,0.903866716,0.380659369
603041000,"Bean, pink, seed",dry weight of bean,,45,4.756,0.308,1,None,1,bean_dry,PROXY,2,4.756,3.739,PROXY,9,0.308,0.195,,,,legume_seed,19,3.189953589,1.839062478,2.741799555,legume_seed,29,0.730832198,0.903866716,0.380659369
603042000,"Bean, pinto, seed",dry weight of bean,Include calico and red Mexican bean.,4336,4.756,0.308,1,None,1,bean_dry,PROXY,2,4.756,3.739,PROXY,9,0.308,0.195,,,,legume_seed,19,3.189953589,1.839062478,2.741799555,legume_seed,29,0.730832198,0.903866716,0.380659369
603098000,"Chickpea, seed",dry weight of bean,Also called garbanzo bean.,358,1.543,0.491,1,None,1,,DB value,1,1.543,0.000,DB value,1,0.491,#DIV/0!,,,,legume_seed,19,3.189953589,1.839062478,0.889681036,legume_seed,29,0.730832198,0.903866716,0.60774567
603182000,"Guar, seed",weight of bean,,18678,1.320,1.400,1,None,1,lentil_seed,PROXY,2,1.320,0.116,DB value,1,1.400,#DIV/0!,,,,legume_seed,19,3.189953589,1.839062478,0.761261874,legume_seed,29,0.730832198,0.903866716,1.731469146
603203000,"Lentil, seed",dry weight of edible seed,,256,1.320,1.880,1,None,1,,DB value,2,1.320,0.116,DB value,2,1.880,2.060,,,,legume_seed,19,3.189953589,1.839062478,0.761261874,legume_seed,29,0.730832198,0.903866716,2.325548578
603256000,"Pea, dry",dry weight of pea,,135,3.647,0.617,1,None,1,,DB value,9,3.647,1.805,DB value,9,0.617,0.555,,,,DIRECT,9,,1.805317848,1.805317848,DIRECT,9,,0.555255541,0.555255541
603258000,"Pea, pigeon, seed",dry weight of pea,,22,3.227,1.054,1,None,1,,DB value,1,3.227,0.000,DB value,1,1.054,#DIV/0!,,,,legume_seed,19,3.189953589,1.839062478,1.86030506,legume_seed,29,0.730832198,0.903866716,1.303425238
801374000,Tomatillo,weight of fruit; excluding outer husks,,644,2.629,0.470,1.1,tomato,1,tomato,PROXY,7,2.390,1.151,PROXY,25,0.428,1.081,,,,tomato,7,2.390257143,1.150792966,1.150792966,tomato,25,0.427612571,1.081021834,1.081021834
801375000,Tomato,"weight of pulp, seeds and skin; tomatoes without skin but with seed (example canned whole tomatoes)",,23505,2.629,0.470,1.1,FICRCD,1,,DB value,7,2.390,1.151,DB value,25,0.428,1.081,,,,DIRECT,7,,1.150792966,1.150792966,DIRECT,25,,1.081021834,1.081021834
801376000,"Tomato, paste",weight of concentrated tomato pulp from food described as paste; excluding seeds and skin,,7988,1.438,0.118,1,none,2,,DB value,1,1.438,0.000,DB value,1,0.118,#DIV/0!,,,,processed_tomato,10,8.7758182,4.719276454,0.773190093,processed_tomato,12,0.974454762,0.800827426,0.097303611
801377000,"Tomato, puree",weight of concentrated tomato pulp (from food described as puree or sauce); excluding seeds and skin,,19602,10.581,1.147,1,none,2,,DB value,8,10.581,3.163,DB value,10,1.147,0.764,,,,DIRECT,8,,3.163086843,3.163086843,DIRECT,10,,0.764345906,0.764345906
801378000,"Tomato, dried",weight of dried tomato (may include skin and/or seeds),,1281,40.826,7.304,17.08,FICRCD,1,tomato,PROXY,7,2.390,1.151,PROXY,25,0.428,1.081,,,,tomato,7,2.390257143,1.150792966,1.150792966,tomato,25,0.427612571,1.081021834,1.081021834
801379000,"Tomato, juice",weight of juice at single strength (or standard dilution),,1025,2.556,0.153,1.53,FICRCD,2,,DB value,1,1.671,0.000,DB value,1,0.100,#DIV/0!,,,,processed_tomato,10,8.7758182,4.719276454,0.898326645,processed_tomato,12,0.974454762,0.800827426,0.082346468
802148000,Eggplant,"weight of whole vegetable; including seeds, with or without peel",,180,2.940,0.526,1.23,FICRCD,1,nightshades,PROXY,7,2.390,1.151,PROXY,25,0.428,1.081,,,,nightshades,7,2.390257143,1.150792966,1.150792966,nightshades,25,0.427612571,1.081021834,1.081021834
802234000,Okra,weight of pods; including seeds,,271,2.773,0.496,1.16,FICRCD,1,nightshades,PROXY,7,2.390,1.151,PROXY,25,0.428,1.081,,,,nightshades,7,2.390257143,1.150792966,1.150792966,nightshades,25,0.427612571,1.081021834,1.081021834
802270000,"Pepper, bell",weight of flesh; excluding seeds and stem,"Includes sweet pepper, cooking pepper, pimento, and banana pepper.",8602,6.881,0.525,1.22,FICRCD,1,,DB value,1,5.640,0.000,DB value,2,0.430,0.226,,,,nightshades,7,2.390257143,1.150792966,2.715386646,nightshades,25,0.427612571,1.081021834,1.087057349
802271000,"Pepper, bell, dried",dry weight of flesh only,"Includes sweet pepper, cooking pepper, pimento, and banana pepper.",5298,68.797,5.245,12.198,NNDSR28,1,pepper_bell,PROXY,1,5.640,#DIV/0!,PROXY,2,0.430,0.226,,,,nightshades,7,2.390257143,1.150792966,2.715386646,nightshades,25,0.427612571,1.081021834,1.087057349
802272000,"Pepper, nonbell","weight of flesh, with or without seeds; excluding stem",,26399,6.824,0.799,1.21,FICRCD,1,pepper_bell,PROXY,1,5.640,#DIV/0!,DB value,1,0.660,#DIV/0!,,,,nightshades,7,2.390257143,1.150792966,2.715386646,nightshades,25,0.427612571,1.081021834,1.668506629
802273000,"Pepper, nonbell, dried",dry weight of flesh or flesh and seeds,,12647,57.218,4.362,10.145,NNDSR28,1,pepper_bell,PROXY,1,5.640,#DIV/0!,PROXY,2,0.430,0.226,,,,nightshades,7,2.390257143,1.150792966,2.715386646,nightshades,25,0.427612571,1.081021834,1.087057349
901075000,Cantaloupe,weight of pulp; excluding seeds and outer rind,"Includes casaba, muskmelon, and wintermelon.",1292,2.862,0.490,1.96,FICRCD,1,melon,PROXY,1,1.460,#DIV/0!,DB value,1,0.250,#DIV/0!,,,,cucurbits,4,1.295,0.495681349,0.55883766,cucurbits,21,0.348494762,0.480666129,0.344815892
901187000,Honeydew melon,weight of pulp; excluding seeds and rind,,171,3.168,0.284,2.17,FICRCD,1,,DB value,1,1.460,0.000,DB value,1,0.131,#DIV/0!,,,,cucurbits,4,1.295,0.495681349,0.55883766,cucurbits,21,0.348494762,0.480666129,0.180683528
901399000,Watermelon,weight of pulp and rind; excluding seeds,To include weight of pickled watermelon rind.,1250,2.803,1.946,1.92,FICRCD,1,melon,PROXY,1,1.460,#DIV/0!,DB value,3,1.013,0.548,,,,cucurbits,4,1.295,0.495681349,0.55883766,cucurbits,21,0.348494762,0.480666129,1.39765375
901400000,"Watermelon, juice",weight of juice at single strength (or standard dilution),,19,8.085,2.293,1.92,FICRCD,1,melon,PROXY,1,1.460,#DIV/0!,PROXY,5,0.684,0.596,5.282,0.979,,cucurbits,4,1.295,0.495681349,0.55883766,cucurbits,21,0.348494762,0.480666129,0.943692134
902021000,Balsam pear,weight of whole fruit,"Includes Balsam apple, Chinese cucumber, and Bittermelon.",3,0.840,0.397,1,None,1,cucumber,PROXY,1,0.840,#DIV/0!,PROXY,4,0.397,0.569,,,,cucurbits,4,1.295,0.495681349,0.321523037,cucurbits,21,0.348494762,0.480666129,0.548046931
902088000,"Chayote, fruit",weight of fruit,"Also called Christophine, and Mirliton.",38,0.840,0.397,1,None,1,cucumber,PROXY,1,0.840,#DIV/0!,PROXY,4,0.397,0.569,,,,cucurbits,4,1.295,0.495681349,0.321523037,cucurbits,21,0.348494762,0.480666129,0.548046931
902102000,Chinese waxgourd,weight of flesh; including or excluding peel,Includes Togan and wintermelon.,2,2.045,0.147,1.42,FICRCD,1,squash,PROXY,2,1.440,0.679,PROXY,11,0.103,0.179,,,,cucurbits,4,1.295,0.495681349,0.55118235,cucurbits,21,0.348494762,0.480666129,0.142691086
902135000,Cucumber,weight of flesh and seeds; including or excluding peel,,9894,0.865,0.409,1.03,FICRCD,1,,DB value,1,0.840,0.000,DB value,4,0.397,0.569,,,,cucurbits,4,1.295,0.495681349,0.321523037,cucurbits,21,0.348494762,0.480666129,0.548046931
902308000,Pumpkin,weight of pulp; excluding seeds and rind,,367,2.746,0.218,1.43,FICRCD,1,,DB value,1,1.920,0.000,DB value,6,0.153,0.239,,,,cucurbits,4,1.295,0.495681349,0.7349098,DIRECT,6,,0.238902775,0.238902775
902309000,"Pumpkin, seed",weight of dried seed only,,231,1.440,0.103,1,None,1,squash,PROXY,2,1.440,0.679,PROXY,11,0.103,0.179,,,,cucurbits,4,1.295,0.495681349,0.55118235,cucurbits,21,0.348494762,0.480666129,0.142691086
902356000,"Squash, summer","weight of flesh, seeds and peel","Includes crookneck squash, kampyo,  scallop squash, straightneck squash, vegetable marrow, and zucchini.",1642,0.193,1.229,1.05,FICRCD,1,zucchini,PROXY,1,0.184,#DIV/0!,DB value,1,1.170,#DIV/0!,,,,cucurbits,4,1.295,0.495681349,0.070490098,cucurbits,21,0.348494762,0.480666129,1.613738375
902357000,"Squash, winter",weight of flesh; excluding seeds and peel,"Includes butternut squash, hubbard squash, calabaza, acorn squash, and spaghetti squash.",392,1.354,0.063,1.41,FICRCD,1,,DB value,1,0.960,0.000,DB value,5,0.045,0.028,,,,cucurbits,4,1.295,0.495681349,0.3674549,DIRECT,5,,0.027660351,0.027660351
1001106000,Citron,weight of pulp; excluding peel,,37,5.277,0.593,2,grapefruit,1,citrus,PROXY,6,2.638,0.646,PROXY,23,0.297,0.211,,,,citrus,6,2.638333333,0.645582424,0.645582424,citrus,23,0.296507134,0.210939689,0.210939689
1001107000,Citrus hybrids,weight of pulp; excluding seeds and peel,"Includes tangelo, Tangor, Chironja, and Calamondin.",20,3.562,0.400,1.35,tangelo,1,citrus,PROXY,6,2.638,0.646,PROXY,23,0.297,0.211,,,,citrus,6,2.638333333,0.645582424,0.645582424,citrus,23,0.296507134,0.210939689,0.210939689
1001240000,Orange,weight of pulp; excluding seeds and peel,,3262,3.726,0.294,1.37,FICRCD,1,,DB value,4,2.720,0.758,DB value,13,0.214,0.084,,,,citrus,6,2.638333333,0.645582424,0.665565709,DIRECT,13,,0.08445428,0.08445428
1001241000,"Orange, juice",weight of juice at single strength (or standard dilution),,18007,5.573,0.509,1,none,2,,DB value,2,5.573,3.999,DB value,5,0.509,0.272,,,,citrus,6,2.638333333,0.645582424,1.363581294,DIRECT,5,,0.272452481,0.272452481
1001242000,"Orange, peel",weight of peel only,,202,2.720,0.214,1,None,1,orange,PROXY,4,2.720,0.758,PROXY,13,0.214,0.084,,,,citrus,6,2.638333333,0.645582424,0.665565709,orange,13,0.214358776,0.08445428,0.08445428
1001369000,Tangerine,weight of pulp; excluding seeds and peel,Include clementine and mandarin.,720,3.562,0.400,1.35,FICRCD,1,citrus,PROXY,6,2.638,0.646,PROXY,23,0.297,0.211,,,,citrus,6,2.638333333,0.645582424,0.645582424,citrus,23,0.296507134,0.210939689,0.210939689
1001370000,"Tangerine, juice",weight of juice at single strength (or standard dilution),Include+G148 clementine and mandarin.,6891,10.559,1.572,2,FICRCD,1,citrus,PROXY,6,2.638,0.646,PROXY,23,0.297,0.211,5.282,0.979,,citrus,6,2.638333333,0.645582424,0.645582424,citrus,23,0.296507134,0.210939689,0.210939689
1002197000,Kumquat,weight of fruit; including peel; excluding seeds,,1,2.849,0.320,1.08,FICRCD,1,citrus,PROXY,6,2.638,0.646,PROXY,23,0.297,0.211,,,,citrus,6,2.638333333,0.645582424,0.645582424,citrus,23,0.296507134,0.210939689,0.210939689
1002199000,Lemon,weight of pulp; excluding seeds and peel,,2076,4.678,0.422,1.89,FICRCD,1,,DB value,2,2.475,0.530,DB value,3,0.223,0.251,,,,citrus,6,2.638333333,0.645582424,0.605615856,citrus,23,0.296507134,0.210939689,0.158882733
1002200000,"Lemon, juice",weight of juice at single strength (or standard dilution),,21356,6.000,0.332,1,none,2,,DB value,1,6.000,0.000,DB value,1,0.332,#DIV/0!,,,,citrus,6,2.638333333,0.645582424,1.468159651,citrus,23,0.296507134,0.210939689,0.235905288
1002201000,"Lemon, peel",weight of peel only,,770,2.638,0.297,1,None,1,citrus,PROXY,6,2.638,0.646,PROXY,23,0.297,0.211,,,,citrus,6,2.638333333,0.645582424,0.645582424,citrus,23,0.296507134,0.210939689,0.210939689
1002206000,Lime,weight of pulp; excluding seeds and peel,"Australian desert lime, Australian finger lime, Australian round lime, Brown River finger lime, Mount White lime, New Guinea wild lime, Russell River lime, Sweet lime, Tahiti Lime.",34,3.166,0.612,1.2,FICRCD,1,citrus,PROXY,6,2.638,0.646,DB value,1,0.510,#DIV/0!,,,,citrus,6,2.638333333,0.645582424,0.645582424,citrus,23,0.296507134,0.210939689,0.362821764
1002207000,"Lime, juice",weight of juice at single strength (or standard dilution),"Australian desert lime, Australian finger lime, Australian round lime, Brown River finger lime, Kumquat, Lemon, Lime, Mount White lime, New Guinea wild lime, Russell River lime, Sweet lime, Tahiti Lime",7724,13.857,1.943,3.25,FICRCD,1,citrus,PROXY,6,2.638,0.646,PROXY,23,0.297,0.211,5.282,0.979,,citrus,6,2.638333333,0.645582424,0.645582424,citrus,23,0.296507134,0.210939689,0.210939689
1003180000,Grapefruit,weight of pulp; excluding seeds and rind,Includes Uniq fruit,618,5.277,1.210,2,FICRCD,1,citrus,PROXY,6,2.638,0.646,DB value,2,0.605,0.134,,,,citrus,6,2.638333333,0.645582424,0.645582424,citrus,23,0.296507134,0.210939689,0.430406211
1003181000,"Grapefruit, juice",weight of juice at single strength (or standard dilution),,7511,11.218,1.646,2.25,FICRCD,1,citrus,PROXY,6,2.638,0.646,PROXY,23,0.297,0.211,5.282,0.979,,citrus,6,2.638333333,0.645582424,0.645582424,citrus,23,0.296507134,0.210939689,0.210939689
1100007000,"Apple, fruit with peel","weight of apple; including peel, excluding core and stem",,6912,1.595,0.228,1.11,LAFA,1,,DB value,18,1.437,1.348,DB value,36,0.206,0.216,,,,DIRECT,18,,1.347966246,1.347966246,DIRECT,36,,0.216085896,0.216085896
1100008000,"Apple, peeled fruit","weight of apple; excluding peel, core and stem",,1123,1.868,0.267,1.3,NNDSR28,1,apple,PROXY,18,1.437,1.348,PROXY,36,0.206,0.216,,,,apple,18,1.437166667,1.347966246,1.347966246,apple,36,0.205764321,0.216085896,0.216085896
1100009000,"Apple, dried","dry weight; excluding peel, core, stem",,2932,8.839,1.265,6.15,FICRCD,1,apple,PROXY,18,1.437,1.348,PROXY,36,0.206,0.216,,,,apple,18,1.437166667,1.347966246,1.347966246,apple,36,0.205764321,0.216085896,0.216085896
1100010000,"Apple, juice",weight of juice at single strength (or standard dilution),,14568,7.438,1.288,1.5,FICRCD,1,apple,PROXY,18,1.437,1.348,PROXY,36,0.206,0.216,5.282,0.979,,apple,18,1.437166667,1.347966246,1.347966246,apple,36,0.205764321,0.216085896,0.216085896
1100011000,"Apple, sauce",weight of applesauce,,1353,2.012,0.288,1.4,FICRCD,1,apple,PROXY,18,1.437,1.348,PROXY,36,0.206,0.216,,,,apple,18,1.437166667,1.347966246,1.347966246,apple,36,0.205764321,0.216085896,0.216085896
1100266000,Pear,"weight of pulp, with or without peel; excluding core and stem",Include Asian (Oriental) pear.,3209,2.922,0.249,1.11,FICRCD,1,,DB value,5,2.632,2.009,DB value,7,0.224,0.130,,,,DIRECT,5,,2.009110375,2.009110375,DIRECT,7,,0.130234703,0.130234703
1100267000,"Pear, dried","weight of dried pulp, with or without peel",Include Asian (Oriental) pear.,142,13.160,1.121,5,FICRCD,1,pear,PROXY,5,2.632,2.009,PROXY,7,0.224,0.130,,,,pear,5,2.632,2.009110375,2.009110375,pear,7,0.224142177,0.130234703,0.130234703
1100268000,"Pear, juice",weight of juice at single strength (or standard dilution),Include Asian (Oriental) pear.,6975,9.230,1.315,1.5,"apple, juice",1,pear,PROXY,5,2.632,2.009,PROXY,7,0.224,0.130,5.282,0.979,,pear,5,2.632,2.009110375,2.009110375,pear,7,0.224142177,0.130234703,0.130234703
1201090000,Cherry,weight of fruit; including skin; excluding pit and stem,Includes sweet cherry and sour or tart cherry.,11075,4.360,0.510,1.09,FICRCD,1,tree_fruit,DB value,2,4.000,1.414,DB value,5,0.468,0.243,,,,tree_fruit,30,2.031966667,1.778072838,3.500200799,DIRECT,5,,0.243248844,0.243248844
1201091000,"Cherry, juice",weight of juice at single strength (or standard dilution),Includes sweet cherry and sour or tart cherry.,6943,10.482,1.587,1.3,"blackberry, juice",1,cherry,PROXY,2,4.000,1.414,PROXY,5,0.468,0.243,5.282,0.979,,tree_fruit,30,2.031966667,1.778072838,3.500200799,cherry,5,0.468,0.243248844,0.243248844
1202012000,Apricot,"weight of pulp, with or without peel; excluding pit",Includes Japanese apricot.,1271,2.195,0.464,1.08,FICRCD,1,tree_fruit,PROXY,30,2.032,1.778,DB value,1,0.430,#DIV/0!,,,,tree_fruit,30,2.031966667,1.778072838,1.778072838,tree_fruit,59,0.257923912,0.224519986,0.374310366
1202013000,"Apricot, dried","dry weight of pulp, with or without peel; excluding pit",Includes Japanese apricot.,178,11.095,1.408,5.46,FICRCD,1,tree_fruit,PROXY,30,2.032,1.778,PROXY,59,0.258,0.225,,,,tree_fruit,30,2.031966667,1.778072838,1.778072838,tree_fruit,59,0.257923912,0.224519986,0.224519986
1202014000,"Apricot, juice",weight of juice at single strength (or standard dilution),Includes Japanese apricot.,6127,8.594,1.399,1.63,"plum, juice",1,tree_fruit,PROXY,30,2.032,1.778,PROXY,59,0.258,0.225,5.282,0.979,,tree_fruit,30,2.031966667,1.778072838,1.778072838,tree_fruit,59,0.257923912,0.224519986,0.224519986
1202230000,Nectarine,weight of pulp; including peel; excluding pit and stem,,233,2.235,0.284,1.1,FICRCD,1,tree_fruit,PROXY,30,2.032,1.778,PROXY,59,0.258,0.225,,,,tree_fruit,30,2.031966667,1.778072838,1.778072838,tree_fruit,59,0.257923912,0.224519986,0.224519986
1202260000,Peach,"weight of pulp, with or without peel; excluding pit",,16920,2.897,0.274,1.04,FICRCD,1,,DB value,5,2.786,2.444,DB value,7,0.263,0.170,,,,DIRECT,5,,2.443968085,2.443968085,DIRECT,7,,0.17039464,0.17039464
1202261000,"Peach, dried","weight of dried pulp, with or without peel; excluding pit",,1722,17.775,1.678,6.38,FICRCD,1,peach,PROXY,5,2.786,2.444,PROXY,7,0.263,0.170,,,,peach,5,2.786,2.443968085,2.443968085,peach,7,0.263,0.17039464,0.17039464
1202262000,"Peach, juice",weight of juice at single strength (or standard dilution),,78,9.823,1.408,1.63,"plum, juice",1,peach,PROXY,5,2.786,2.444,PROXY,7,0.263,0.170,5.282,0.979,,peach,5,2.786,2.443968085,2.443968085,peach,7,0.263,0.17039464,0.17039464
1203285000,Plum,weight of pulp with peel; excluding pit,Includes American plum; Klamath plum; Beach plum; Canada plum; Cherry plum; Chickasaw plum; Damson plum; Japanese plum; Plumcot; and Sloe.,417,2.154,0.576,1.06,FICRCD,1,tree_fruit,PROXY,30,2.032,1.778,DB value,3,0.543,0.297,,,,tree_fruit,30,2.031966667,1.778072838,1.778072838,tree_fruit,59,0.257923912,0.224519986,0.472965811
1203286000,"Plum, prune, fresh","weight of plum, with peel; excluding pit",,50,2.154,0.273,1.06,FICRCD,1,tree_fruit,PROXY,30,2.032,1.778,PROXY,59,0.258,0.225,,,,tree_fruit,30,2.031966667,1.778072838,1.778072838,tree_fruit,59,0.257923912,0.224519986,0.224519986
1203287000,"Plum, prune, dried","weight of dried flesh, with or without peel; excluding pit",,260,11.643,1.478,5.73,FICRCD,1,tree_fruit,PROXY,30,2.032,1.778,PROXY,59,0.258,0.225,,,,tree_fruit,30,2.031966667,1.778072838,1.778072838,tree_fruit,59,0.257923912,0.224519986,0.224519986
1203288000,"Plum, prune, juice",weight of juice at single strength (or standard dilution),,125,8.594,1.399,1.63,FICRCD,1,tree_fruit,PROXY,30,2.032,1.778,PROXY,59,0.258,0.225,5.282,0.979,,tree_fruit,30,2.031966667,1.778072838,1.778072838,tree_fruit,59,0.257923912,0.224519986,0.224519986
1301055000,Blackberry,weight of berry,"Includes Andean blackberry, Arctic blackberry, bingleberry, black satin berry, boysenberry, brombeere, California blackberry, Cherokee blackberry, chesterberry, Cheyenne blackberry, common blackberry, coryberry, darrowberry, dewberry, dirksen thornless be",7185,6.475,0.599,1.04,FICRCD,1,berry,PROXY,9,6.226,3.458,PROXY,19,0.576,0.403,,,,berry,9,6.225615848,3.458108076,3.458108076,berry,19,0.575970011,0.40302432,0.40302432
1301056000,"Blackberry, juice",weight of juice at single strength (or standard dilution),"Includes Andean blackberry, Arctic blackberry, bingleberry, black satin berry, boysenberry, brombeere, California blackberry, Cherokee blackberry, chesterberry, Cheyenne blackberry, common blackberry, coryberry, darrowberry, dewberry, dirksen thornless be",10,13.375,1.728,1.3,FICRCD,1,berry,PROXY,9,6.226,3.458,PROXY,19,0.576,0.403,5.282,0.979,,berry,9,6.225615848,3.458108076,3.458108076,berry,19,0.575970011,0.40302432,0.40302432
1301058000,Boysenberry,weight of berry,,6145,6.475,0.599,1.04,FICRCD,1,berry,PROXY,9,6.226,3.458,PROXY,19,0.576,0.403,,,,berry,9,6.225615848,3.458108076,3.458108076,berry,19,0.575970011,0.40302432,0.40302432
1301320000,Raspberry,weight of berry,"Includes black raspberry, red raspberry, bababerry, blackcap, framboise, frambueso, himbeere, keriberry, mayberry, thimbleberry, tulameen, yellow raspberry.",11006,5.328,0.237,1.04,FICRCD,1,,DB value,2,5.123,1.803,DB value,2,0.227,0.050,,,,berry,9,6.225615848,3.458108076,2.845424605,berry,19,0.575970011,0.40302432,0.159173689
1301321000,"Raspberry, juice",weight of juice at single strength (or standard dilution),"Includes black raspberry, red raspberry, bababerry, blackcap, framboise, frambueso, himbeere, keriberry, mayberry, thimbleberry, tulameen, yellow raspberry.",6120,11.508,1.555,1,None,1,berry,PROXY,9,6.226,3.458,PROXY,19,0.576,0.403,5.282,0.979,,berry,9,6.225615848,3.458108076,3.458108076,berry,19,0.575970011,0.40302432,0.40302432
1302057000,Blueberry,weight of berry,Includes highbush blueberry and lowbush blueberry.,16469,3.510,0.496,1.05,FICRCD,1,,DB value,2,3.343,0.157,DB value,4,0.472,0.353,,,,berry,9,6.225615848,3.458108076,1.85673239,berry,19,0.575970011,0.40302432,0.330531031
1302137000,"Currant, dried",dry weight of berry,Includes red and black currants.,17,28.264,0.684,1,none,1,grape_raisin,PROXY,1,28.264,#DIV/0!,PROXY,2,0.684,0.023,,,,berry,9,6.225615848,3.458108076,15.69981067,berry,19,0.575970011,0.40302432,0.478266433
1302174000,Gooseberry,weight of berry,,15,6.226,0.840,1,None,1,berry,PROXY,9,6.226,3.458,DB value,1,0.840,#DIV/0!,,,,berry,9,6.225615848,3.458108076,3.458108076,berry,19,0.575970011,0.40302432,0.587774402
1302191000,Huckleberry,weight of berry,,36,6.537,0.605,1.05,FICRCD,1,berry,PROXY,9,6.226,3.458,PROXY,19,0.576,0.403,,,,berry,9,6.225615848,3.458108076,3.458108076,berry,19,0.575970011,0.40302432,0.40302432
1303227000,Mulberry,weight of fruit,Includes Juneberry.,1,6.475,0.599,1.04,FICRCD,1,berry,PROXY,9,6.226,3.458,PROXY,19,0.576,0.403,,,,berry,9,6.225615848,3.458108076,3.458108076,berry,19,0.575970011,0.40302432,0.40302432
1304175000,Grape,"weight of grape, with skin, and with or without seeds",Includes Muscadine.,5959,2.810,0.478,1.04,FICRCD,1,,DB value,1,2.702,0.000,DB value,3,0.459,0.273,,,,berry,9,6.225615848,3.458108076,1.50090092,berry,19,0.575970011,0.40302432,0.321484609
1304176000,"Grape, juice",weight of juice at single strength (or standard dilution),Includes hardy kiwifruit,12486,8.795,1.576,1.3,FICRCD,1,Grape,PROXY,1,2.702,#DIV/0!,PROXY,3,0.459,0.273,5.282,0.979,,berry,9,6.225615848,3.458108076,1.50090092,berry,19,0.575970011,0.40302432,0.321484609
1304178000,"Grape, raisin",dry weight of raisin,Includes Zante currant.,8179,28.264,0.684,1,none,1,,DB value,1,28.264,0.000,DB value,2,0.684,0.023,,,,berry,9,6.225615848,3.458108076,15.69981067,berry,19,0.575970011,0.40302432,0.478266433
1304179000,"Grape, wine and sherry",weight of wine or sherry,,6014,7.674,0.780,1,None,2,beer,PROXY,3,7.674,0.533,DB value,44,0.780,0.792,,,,no var,,,0,0,DIRECT,44,,0.791686035,0.791686035
1304195000,"Kiwifruit, fuzzy",weight of pulp and peel.,,169,6.310,0.264,1.16,FICRCD,1,,DB value,1,5.440,0.000,DB value,5,0.227,0.121,,,,berry,9,6.225615848,3.458108076,3.021732093,DIRECT,5,,0.121479795,0.121479795
1307130000,Cranberry,weight of berry,,174,6.350,1.418,1.02,FICRCD,1,berry,PROXY,9,6.226,3.458,DB value,1,1.390,#DIV/0!,,,,berry,9,6.225615848,3.458108076,3.458108076,berry,19,0.575970011,0.40302432,0.97262669
1307131000,"Cranberry, dried",dry weight of berry,,813,41.345,3.825,6.641167192,NNDSR28,1,berry,PROXY,9,6.226,3.458,PROXY,19,0.576,0.403,,,,berry,9,6.225615848,3.458108076,3.458108076,berry,19,0.575970011,0.40302432,0.40302432
1307132000,"Cranberry, juice",weight of juice at single strength (or standard dilution),,7477,13.375,1.728,1.3,FICRCD,1,berry,PROXY,9,6.226,3.458,PROXY,19,0.576,0.403,5.282,0.979,,berry,9,6.225615848,3.458108076,3.458108076,berry,19,0.575970011,0.40302432,0.40302432
